Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,4.105782,4.204237,3.794214,3.879533,3.879533,423505999
2020-03-02,3.880253,4.313528,3.830101,4.215007,4.215007,437170132
2020-03-03,4.214070,4.657595,4.154643,4.583632,4.583632,518469328
2020-03-04,4.582994,4.950450,4.563704,4.644871,4.644871,662474676
2020-03-05,4.642681,4.885315,4.635667,4.721254,4.721254,542142055
2020-03-06,4.720170,4.745898,4.570166,4.678498,4.678498,384700765
2020-03-07,4.675084,4.678994,4.340524,4.344593,4.344593,375742252
2020-03-08,4.346773,4.432006,3.904835,4.089671,4.089671,554855517
2020-03-09,4.083907,4.343474,3.676138,4.063915,4.063915,751627574
2020-03-10,4.094792,4.204221,3.950926,4.084932,4.084932,531064759
2020-03-11,4.087635,4.106828,3.600602,3.817517,3.817517,464691611
2020-03-12,3.817240,3.834068,1.968293,2.064779,2.064779,678674594
2020-03-13,2.063421,2.714625,1.506868,2.421134,2.421134,905688605
2020-03-14,2.425880,2.501743,2.098685,2.143518,2.143518,448070725
2020-03-15,2.143371,2.356727,2.050029,2.109211,2.109211,440244556
2020-03-16,2.111994,2.111994,1.599666,1.779877,1.779877,539952973
2020-03-17,1.778445,2.046241,1.757126,1.842805,1.842805,402042487
2020-03-18,1.841494,1.905583,1.784832,1.887700,1.887700,304298998
2020-03-19,1.892053,2.343813,1.883173,2.246666,2.246666,447725949
2020-03-20,2.248819,2.603270,2.090746,2.247900,2.247900,526429075
2020-03-21,2.248554,2.331425,2.129991,2.271615,2.271615,317973844
2020-03-22,2.272809,2.314801,1.964135,1.988865,1.988865,295425227
2020-03-23,1.989665,2.237793,1.949406,2.237793,2.237793,354551259
2020-03-24,2.233727,2.358652,2.199893,2.307897,2.307897,321474266
2020-03-25,2.309505,2.329310,2.215296,2.259675,2.259675,257497959
2020-03-26,2.259283,2.295138,2.228284,2.295138,2.295138,209695287
2020-03-27,2.295300,2.335921,2.174971,2.174971,2.174971,222982484
2020-03-28,2.175418,2.180167,2.065830,2.136711,2.136711,234279602
2020-03-29,2.137584,2.151826,2.022979,2.025168,2.025168,178728616
2020-03-30,2.024465,2.182232,2.015480,2.153320,2.153320,220332928
2020-03-31,2.149772,2.277844,2.122721,2.270344,2.270344,239526251
2020-04-01,2.270344,2.295287,2.161498,2.278260,2.278260,289006167
2020-04-02,2.274627,2.389773,2.265946,2.301709,2.301709,294353542
2020-04-03,2.301746,2.379148,2.286691,2.305067,2.305067,226925451
2020-04-04,2.305067,2.326719,2.271449,2.326213,2.326213,194260779
2020-04-05,2.326411,2.327145,2.263204,2.277325,2.277325,161676430
2020-04-06,2.277658,2.515688,2.277603,2.513414,2.513414,325590660
2020-04-07,2.524461,2.873555,2.524461,2.717985,2.717985,577910419
2020-04-08,2.720704,3.240498,2.714644,3.139041,3.139041,518682497
2020-04-09,3.140663,3.449471,3.131027,3.321694,3.321694,734770971
2020-04-10,3.322215,3.327711,2.974488,3.217100,3.217100,748426338
2020-04-11,3.217100,3.424746,3.089018,3.282313,3.282313,653196770
2020-04-12,3.287005,3.589921,3.186141,3.462612,3.462612,712633667
2020-04-13,3.467358,3.467358,3.307967,3.369805,3.369805,663413130
2020-04-14,3.373529,3.438154,3.230805,3.236892,3.236892,497025726
2020-04-15,3.240693,3.306590,3.128573,3.129015,3.129015,425648502
2020-04-16,3.130011,3.515722,3.018990,3.468648,3.468648,599436392
2020-04-17,3.474831,3.528545,3.410397,3.477046,3.477046,431088440
2020-04-18,3.478848,3.801483,3.476431,3.783459,3.783459,517130841
2020-04-19,3.781354,3.806304,3.588338,3.637568,3.637568,497819795
2020-04-20,3.636420,3.782010,3.431948,3.458327,3.458327,511701400
2020-04-21,3.454818,3.578754,3.432500,3.476279,3.476279,386134896
2020-04-22,3.474642,3.696639,3.460780,3.678815,3.678815,419768837
2020-04-23,3.680154,3.822026,3.634202,3.725010,3.725010,458394827
2020-04-24,3.735023,3.894665,3.731253,3.804795,3.804795,356971612
2020-04-25,3.804563,3.887857,3.777780,3.803088,3.803088,326366095
2020-04-26,3.802411,3.830337,3.696693,3.716778,3.716778,373262888
2020-04-27,3.720203,3.742610,3.496061,3.641899,3.641899,418502739
2020-04-28,3.642995,3.736406,3.595576,3.675325,3.675325,336584772
2020-04-29,3.678748,3.963845,3.646956,3.906069,3.906069,479767865
2020-04-30,3.720988,3.909718,3.720988,3.812470,3.812470,416244768
